date,symbolid,marketValue,vol,basicVol,fPrice,fPriceDev,open,max,min,close,pe,realBuyersCount,realSellersCount,legalBuyersCount,legalSellersCount,realBuyersVol,realSellersVol,legalBuyersVol,legalSellersVol
14000505,فاراك,1.21E+11,61927785,8255091,1954,-4,2040,2040,1943,1943,70,1162,571,2,1,58034089,61925628,3893696,2157
14000506,فاراك,1.4E+11,74396811,8255091,1875,-4,1861,1950,1857,1860,67,1437,778,4,0,73667980,74396811,728831,0
14000509,فاراك,69610242049,36183740,8255091,1924,3,1852,1957,1851,1939,69,770,785,1,2,36132740,36177539,51000,6201
14000510,فاراك,1.16E+11,60075286,8255091,1927,0,1956,1959,1890,1927,69,704,725,1,5,60005843,55000000,69443,4688560
14000511,فاراك,98886061037,52380627,8255091,1888,-2,1936,1977,1854,1860,67,1288,669,1,3,52310627,40792606,70000,11588021
14000512,فاراك,56638660246,30396001,8255091,1863,-1,1851,1898,1850,1859,67,791,693,1,1,30245066,30129501,150935,266500
14000513,فاراك,1.01E+11,54149965,8255091,1867,0,1860,1909,1836,1850,67,1253,795,1,2,54035802,48680262,114163,5469703
14000516,فاراك,73483539822,39755193,8255091,1848,-1,1828,1900,1828,1831,66,838,706,2,3,39529193,39030628,226000,724565
14000517,فاراك,1.92E+11,99970161,8255091,1922,4,1807,1940,1807,1940,69,916,1232,2,4,99904590,93206161,65571,6764000
14000518,فاراك,1.32E+11,68661721,8255091,1920,0,1945,1964,1890,1895,69,1388,855,0,2,68661721,68483727,0,177994
14000519,فاراك,1.23E+11,63028713,8255091,1945,1,1920,1989,1894,1930,69,1246,1139,0,4,63028713,62248865,0,779848
14000520,فاراك,1.18E+11,61531498,8255091,1923,-1,1970,1970,1894,1915,69,1466,1121,1,2,60531498,58719998,1000000,2811500
14000523,فاراك,1.41E+11,72860997,8255091,1937,1,1917,1980,1888,1936,69,1524,1228,1,2,71360997,62036738,1500000,10824259
14000524,فاراك,2.1E+11,105030105,8255091,1996,3,1959,2033,1912,2033,71,903,1501,2,6,104190105,95725105,840000,9305000
14000531,فاراك,3.37E+11,161466204,8255091,2084,4,2095,2095,2040,2095,74,2089,1754,2,4,158189043,160426205,3277161,1039999
14000601,فاراك,5.5E+11,253223109,8255091,2172,4,2115,2188,2050,2188,78,2063,1620,2,5,252124778,234901042,1098331,18322067
14000602,فاراك,3.8E+11,167473238,8255091,2268,4,2220,2280,2170,2266,81,2359,1492,3,4,167372751,166335467,100487,1137771
14000603,فاراك,3.47E+11,155544845,8255091,2233,-2,2290,2325,2165,2233,80,2536,1987,5,3,136974786,149329137,18570059,6215708
14000606,فاراك,2.84E+11,124735486,8255091,2275,2,2248,2320,2233,2260,81,1868,1408,4,5,116629913,116280258,8105573,8455228
14000607,فاراك,2.76E+11,124944177,8255091,2205,-3,2280,2282,2162,2162,79,2178,1530,7,5,116179075,119393627,8765102,5550550
14000608,فاراك,50002316508,23853674,8255091,2096,-5,2095,2149,2095,2095,75,577,163,2,0,21753674,23853674,2100000,0
